id,year,loan_limit,gender,approved_in_advance,loan_type,loan_purpose,credit_worthiness,open_credit,loan_category,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,loan_term,negative_amortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,annual_income,credit_type,credit_score,co_applicant_credit_type,age_group,submission_type,loan_to_value_ratio,region,security_type,is_loan_default,debt_to_income_ratio,ltv_band
24904,2019,Conforming,Female,Not Pre-Approved,type1,p4,High Risk,No,Personal,226500,4.5,0.4657,3953.13,360,No,No,No,298000,Site Build,Permanent Residency,Home,1,7860,CIB,773,CIB,35-44,Through Institution,0.7601,North,Direct,0,39,60-80%
24905,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,76500,3.99,0.3528,2627.1,360,No,No,No,138000,Site Build,Permanent Residency,Home,1,2220,EXP,685,CIB,45-54,Direct,0.5543,North,Direct,1,20,<60%
24906,2019,Conforming,Joint,Not Pre-Approved,type2,p1,High Risk,No,Business,356500,3.99,0.9621,2627.1,360,Yes,No,No,368000,Site Build,Permanent Residency,Home,1,5340,CRIF,846,EXP,25-34,Direct,0.9688,North,Direct,1,44,>80%
24907,2019,Conforming,Male,Pre-Approved,type1,p3,High Risk,No,Personal,156500,3.99,0.3528,2627.1,360,Yes,No,No,168000,Site Build,Permanent Residency,Home,1,3120,CRIF,534,CIB,65-74,Through Institution,0.9315,North,Direct,1,44,>80%
24908,2019,Conforming,Female,Not Pre-Approved,type1,p1,High Risk,No,Personal,406500,4.56,0.458,895,360,No,No,No,598000,Site Build,Permanent Residency,Home,1,5340,CIB,629,CIB,45-54,Direct,0.6798,North,Direct,0,44,60-80%
24909,2019,Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,586500,3.175,-0.3446,650,360,No,No,No,748000,Site Build,Secondary Residency,Home,1,12540,CIB,688,EXP,55-64,Through Institution,0.7841,South,Direct,0,31,60-80%
24910,2019,Conforming,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,306500,2.99,0.2837,10470,180,No,No,No,558000,Site Build,Permanent Residency,Home,1,16860,EXP,668,EXP,65-74,Through Institution,0.5493,North,Direct,0,6,<60%
24911,2019,Conforming,Female,Not Pre-Approved,type1,p3,High Risk,No,Personal,136500,3.99,0.4819,4156.25,360,No,No,No,198000,Site Build,Permanent Residency,Home,1,2100,EXP,758,CIB,>74,Through Institution,0.6894,North,Direct,0,36,60-80%
24912,2019,Conforming,Male,Pre-Approved,type1,p3,Low Risk,No,Personal,306500,3.99,0.3528,2627.1,360,No,No,No,448000,Site Build,Permanent Residency,Home,1,2880,EXP,692,CIB,55-64,Through Institution,0.6842,South,Direct,1,44,60-80%
24913,2019,Conforming,Female,Not Pre-Approved,type1,p3,High Risk,No,Personal,316500,3.625,0.0454,6661.88,360,No,No,No,508000,Site Build,Permanent Residency,Home,1,2760,CIB,620,CIB,65-74,Direct,0.6230,South,Direct,0,44,60-80%
24914,2019,Conforming,Male,Not Pre-Approved,type1,p3,Low Risk,No,Personal,336500,4.5,0.0759,0,360,No,No,No,428000,Site Build,Permanent Residency,Home,1,4980,CIB,846,CIB,35-44,Direct,0.7862,South,Direct,0,35,60-80%
24915,2019,Unknown,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,426500,4.99,1.2706,169.5,360,No,No,No,568000,Site Build,Permanent Residency,Home,1,8940,EXP,533,EXP,45-54,Direct,0.7509,North,Direct,0,34,60-80%
24916,2019,Conforming,Joint,Not Pre-Approved,type3,p1,High Risk,No,Personal,476500,3.5,-0.169,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,6780,EQUI,518,EXP,45-54,Through Institution,1.1400,South,Direct,1,41,>80%
24917,2019,Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,196500,5.25,1.2158,5245.09,360,No,No,No,258000,Site Build,Permanent Residency,Home,1,3840,EXP,812,EXP,25-34,Through Institution,0.7616,South,Direct,0,49,60-80%
24918,2019,Conforming,Female,Not Pre-Approved,type1,p1,High Risk,No,Personal,186500,4.25,1.0186,5376.25,360,No,No,No,218000,Site Build,Permanent Residency,Home,1,3840,CRIF,534,CIB,55-64,Through Institution,0.8555,Central,Direct,0,46,>80%
24919,2019,Conforming,Female,Not Pre-Approved,type1,p1,High Risk,No,Personal,436500,3.625,0.266,6260,360,No,No,No,468000,Site Build,Permanent Residency,Home,1,4920,CIB,647,EXP,35-44,Direct,0.9327,South,Direct,0,42,>80%
24920,2019,Conforming,Male,Not Pre-Approved,type2,p1,High Risk,No,Business,246500,4.25,1.4614,0,360,No,No,No,258000,Site Build,Permanent Residency,Home,1,5400,EXP,683,CIB,25-34,Direct,0.9554,North,Direct,0,39,>80%
24921,2019,Conforming,Male,Not Pre-Approved,type3,p4,High Risk,No,Personal,216500,2.99,-0.6203,2101.63,360,No,No,No,228000,Site Build,Permanent Residency,Home,1,5760,CIB,705,CIB,55-64,Through Institution,0.9496,North,Direct,0,43,>80%
24922,2019,Unknown,Male,Not Pre-Approved,type1,p1,High Risk,No,Personal,306500,4.125,0.2848,3752.4,360,No,No,No,318000,Site Build,Permanent Residency,Home,1,5580,EXP,701,CIB,35-44,Direct,0.9638,North,Direct,0,37,>80%
24923,2019,Conforming,Male,Pre-Approved,type1,p1,High Risk,No,Personal,316500,3.75,0.1681,5560.63,360,No,Yes,No,338000,Site Build,Permanent Residency,Home,1,3720,EXP,591,CIB,45-54,Through Institution,0.9364,North,Direct,0,41,>80%
24924,2019,Conforming,Male,Pre-Approved,type1,p1,High Risk,No,Personal,506500,4.25,0.147,0,360,No,No,No,538000,Site Build,Permanent Residency,Home,1,7500,CIB,647,CIB,25-34,Direct,0.9414,North,Direct,0,36,>80%
24925,2019,Conforming,Female,Not Pre-Approved,type1,p3,High Risk,No,Personal,266500,4.99,1.3774,2337.4,360,No,No,No,408000,Site Build,Permanent Residency,Home,1,3540,EXP,889,CIB,45-54,Direct,0.6532,South,Direct,0,40,60-80%
24926,2019,Conforming,Male,Not Pre-Approved,type1,p1,High Risk,No,Personal,406500,4,0.34,4070,360,No,No,No,1018000,Site Build,Investment,Home,1,9180,EXP,651,CIB,55-64,Direct,0.3993,South,Direct,0,38,<60%
24927,2019,Conforming,Joint,Not Pre-Approved,type1,p4,High Risk,No,Personal,656500,3.375,-0.1555,13016.46,360,No,No,No,1108000,Site Build,Permanent Residency,Home,1,9660,EXP,716,EXP,45-54,Direct,0.5925,North,Direct,0,42,<60%
24928,2019,Non-Conforming,Male,Pre-Approved,type1,p4,High Risk,No,Personal,256500,3.99,0.3528,2627.1,180,No,No,No,418000,Site Build,Permanent Residency,Home,1,3780,EXP,780,EXP,65-74,Through Institution,0.6136,Central,Direct,1,45,60-80%
24929,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,396500,3.99,0.3528,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,7560,CRIF,799,CIB,35-44,Direct,0.9486,North,Direct,1,42,>80%
24930,2019,Conforming,Male,Not Pre-Approved,type1,p3,High Risk,No,Personal,396500,4.99,0.6835,5072.5,360,No,No,No,528000,Site Build,Permanent Residency,Home,1,9060,EXP,766,CIB,35-44,Through Institution,0.7509,South,Direct,0,30,60-80%
24931,2019,Conforming,Female,Pre-Approved,type2,p3,High Risk,No,Business,166500,3.99,1.2351,1657.5,360,No,No,No,198000,Site Build,Permanent Residency,Home,1,3480,CIB,868,CIB,35-44,Through Institution,0.8409,Central,Direct,0,56,>80%
24932,2019,Conforming,Male,Not Pre-Approved,type3,p4,High Risk,No,Personal,466500,3.5,-0.169,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,0,EQUI,765,EXP,45-54,Through Institution,1.1160,North,Direct,1,38,>80%
24933,2019,Conforming,Male,Not Pre-Approved,type2,p4,High Risk,No,Business,236500,3.99,0.9621,2627.1,360,No,No,No,248000,Site Build,Permanent Residency,Home,1,3120,CRIF,673,CIB,35-44,Through Institution,0.9536,Central,Direct,1,38,>80%
24934,2019,Non-Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,866500,3.99,0.3528,2627.1,360,Yes,No,No,1508000,Site Build,Permanent Residency,Home,1,13620,CRIF,876,EXP,35-44,Direct,0.5746,South,Direct,1,44,<60%
24935,2019,Conforming,Joint,Not Pre-Approved,type1,p4,High Risk,No,Personal,416500,3.625,-0.1235,2462.96,360,No,No,No,528000,Site Build,Permanent Residency,Home,1,7380,CRIF,886,EXP,45-54,Direct,0.7888,North,Direct,0,39,60-80%
24936,2019,Conforming,Unknown,Not Pre-Approved,type2,p3,High Risk,No,Business,436500,3.25,0.4238,12283.66,360,No,No,No,508000,Site Build,Permanent Residency,Home,1,4920,CRIF,772,EXP,55-64,Through Institution,0.8593,South,Direct,0,38,>80%
24937,2019,Non-Conforming,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,356500,4.125,0.1691,786.33,360,No,No,No,608000,Site Build,Permanent Residency,Home,1,3720,CRIF,640,EXP,55-64,Direct,0.5863,North,Direct,0,49,<60%
24938,2019,Conforming,Male,Not Pre-Approved,type3,p4,High Risk,No,Personal,386500,2.75,-0.7794,3808.56,360,No,No,No,428000,Site Build,Permanent Residency,Home,1,5760,CIB,798,CIB,45-54,Direct,0.9030,South,Direct,0,43,>80%
24939,2019,Conforming,Female,Not Pre-Approved,type1,p1,High Risk,No,Personal,596500,3.875,-0.0231,3375.48,360,No,No,No,668000,Site Build,Permanent Residency,Home,1,6780,CRIF,858,EXP,25-34,Direct,0.8930,North,Direct,0,39,>80%
24940,2019,Conforming,Unknown,Not Pre-Approved,type1,p3,High Risk,No,Personal,196500,4.125,0.4465,3188.01,312,No,No,No,338000,Site Build,Permanent Residency,Home,1,9060,CIB,543,EXP,25-34,Through Institution,0.5814,South,Direct,0,30,<60%
24941,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,206500,2.99,0.245,5882.75,180,No,No,No,708000,Site Build,Permanent Residency,Home,1,9600,EXP,846,CIB,65-74,Through Institution,0.2917,North,Direct,0,23,<60%
24942,2019,Conforming,Joint,Not Pre-Approved,type3,p3,High Risk,No,Personal,136500,3.5,-0.169,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,3360,EQUI,555,EXP,65-74,Through Institution,0.3266,North,Direct,1,38,<60%
24943,2019,Non-Conforming,Female,Not Pre-Approved,type1,p3,High Risk,No,Personal,166500,3.99,0.3528,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,4560,EQUI,603,EXP,65-74,Through Institution,0.3983,North,Direct,1,43,<60%
24944,2019,Conforming,Joint,Not Pre-Approved,type1,p1,High Risk,No,Personal,606500,3.625,0.0945,14690.09,360,No,No,No,808000,Site Build,Investment,Home,1,22500,EXP,808,EXP,35-44,Direct,0.7506,Central,Direct,0,28,60-80%
24945,2019,Conforming,Unknown,Not Pre-Approved,type2,p4,High Risk,No,Business,86500,3.99,0.9621,2627.1,360,No,No,No,948000,Site Build,Permanent Residency,Home,1,3300,CIB,519,EXP,55-64,Through Institution,0.0912,South,Direct,1,31,<60%
24946,2019,Non-Conforming,Female,Not Pre-Approved,type1,p2,High Risk,No,Personal,116500,3.99,0.3528,2627.1,180,No,No,No,128000,Site Build,Investment,Home,1,4140,CIB,786,EXP,45-54,Direct,0.9102,South,Direct,1,11,>80%
24947,2019,Conforming,Male,Pre-Approved,type1,p3,High Risk,No,Personal,426500,3.5,0.5271,3854,180,No,No,No,598000,Site Build,Permanent Residency,Home,1,6000,CIB,769,CIB,45-54,Direct,0.7132,South,Direct,0,42,60-80%
24948,2019,Non-Conforming,Male,Pre-Approved,type1,p3,High Risk,No,Personal,166500,3.99,0.5893,4044.53,144,No,No,No,238000,Site Build,Permanent Residency,Home,1,6600,CRIF,685,CIB,35-44,Through Institution,0.6996,North,Direct,0,30,60-80%
24949,2019,Conforming,Unknown,Pre-Approved,type1,p3,High Risk,No,Personal,426500,3.375,-0.0529,2627.1,180,No,No,No,608000,Site Build,Permanent Residency,Home,1,11340,CRIF,556,CIB,35-44,Through Institution,0.7015,South,Direct,0,27,60-80%
24950,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,376500,4.5,-0.088,0,360,Yes,No,No,718000,Site Build,Permanent Residency,Home,1,7080,EXP,567,CIB,65-74,Direct,0.5244,North,Direct,0,20,<60%
24951,2019,Conforming,Male,Not Pre-Approved,type2,p1,High Risk,No,Business,286500,3.25,0.4639,0,360,No,No,No,298000,Site Build,Permanent Residency,Home,1,4800,CIB,632,CIB,35-44,Direct,0.9614,North,Direct,0,31,>80%
24952,2019,Conforming,Joint,Not Pre-Approved,type1,p4,High Risk,No,Personal,706500,4.125,0.327,0,360,No,No,No,888000,Site Build,Permanent Residency,Home,1,8520,CIB,818,EXP,35-44,Direct,0.7956,South,Direct,0,40,60-80%
24953,2019,Conforming,Unknown,Not Pre-Approved,type2,p4,High Risk,No,Business,146500,4.75,1.5693,0,360,No,No,No,148000,Site Build,Permanent Residency,Home,1,2760,EXP,584,CIB,<25,Through Institution,0.9899,South,Direct,0,55,>80%
24954,2019,Conforming,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,446500,3.875,0.6514,295,240,No,No,No,628000,Site Build,Permanent Residency,Home,1,7140,EXP,750,EXP,55-64,Through Institution,0.7110,North,Direct,0,34,60-80%
24955,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,286500,3.875,0.2859,1250,360,No,No,No,608000,Site Build,Permanent Residency,Home,1,5820,EXP,808,CIB,55-64,Through Institution,0.4712,South,Direct,0,22,<60%
24956,2019,Conforming,Joint,Not Pre-Approved,type3,p3,High Risk,No,Personal,166500,3.5,-0.169,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,2100,EQUI,838,EXP,65-74,Direct,0.3983,North,Direct,1,38,<60%
24957,2019,Conforming,Female,Not Pre-Approved,type2,p4,High Risk,No,Business,636500,3.99,0.9621,2627.1,360,No,Yes,No,658000,Site Build,Permanent Residency,Home,1,12000,CIB,741,CIB,65-74,Through Institution,0.9673,South,Direct,1,36,>80%
24958,2019,Unknown,Female,Not Pre-Approved,type2,p3,High Risk,No,Business,226500,3.625,0.5626,2627.1,360,No,No,No,258000,Site Build,Permanent Residency,Home,1,3720,CRIF,820,CIB,25-34,Direct,0.8779,North,Direct,0,40,>80%
24959,2019,Conforming,Unknown,Not Pre-Approved,type1,p3,Low Risk,No,Personal,316500,4.5,0.4649,4771.25,360,No,No,No,928000,Site Build,Permanent Residency,Home,1,5880,CRIF,665,CIB,65-74,Through Institution,0.3411,South,Direct,0,24,<60%
24960,2019,Conforming,Unknown,Not Pre-Approved,type1,p3,High Risk,No,Personal,156500,3.99,0.4597,3000,360,No,No,No,208000,Site Build,Permanent Residency,Home,1,3300,CRIF,783,EXP,>74,Through Institution,0.7524,South,Direct,0,30,60-80%
24961,2019,Conforming,Male,Not Pre-Approved,type1,p1,Low Risk,No,Personal,706500,4.875,0.6484,1645.03,360,No,No,No,748000,Site Build,Permanent Residency,Home,1,8400,EXP,663,CIB,35-44,Direct,0.9445,South,Direct,0,46,>80%
24962,2019,Conforming,Female,Not Pre-Approved,type1,p3,High Risk,No,Personal,196500,4.25,0.7872,5493.02,240,No,No,No,318000,Site Build,Permanent Residency,Home,1,5520,EXP,612,CIB,65-74,Through Institution,0.6179,North,Direct,0,30,60-80%
24963,2019,Conforming,Male,Not Pre-Approved,type3,p1,High Risk,No,Personal,166500,4.5,0.7084,1680,360,No,No,No,168000,Site Build,Permanent Residency,Home,1,2040,CRIF,739,CIB,65-74,Through Institution,0.9911,North,Direct,0,52,>80%
24964,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,486500,3.875,-0.1583,7305,360,No,No,No,1198000,Site Build,Permanent Residency,Home,1,8580,CIB,812,CIB,45-54,Direct,0.4061,North,Direct,0,33,<60%
24965,2019,Conforming,Joint,Not Pre-Approved,type1,p1,High Risk,No,Personal,406500,4.375,0.0301,0,360,No,No,No,428000,Site Build,Permanent Residency,Home,1,10740,EXP,571,EXP,45-54,Direct,0.9498,Central,Direct,0,44,>80%
24966,2019,Non-Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,146500,3.99,0.3528,2627.1,360,No,No,No,188000,Site Build,Permanent Residency,Home,1,2400,CRIF,870,CIB,35-44,Through Institution,0.7793,South,Direct,1,49,60-80%
24967,2019,Conforming,Joint,Not Pre-Approved,type1,p1,High Risk,No,Personal,306500,4.875,0.9155,1330.09,360,No,No,No,408000,Site Build,Investment,Home,1,12600,CRIF,793,EXP,35-44,Direct,0.7512,North,Direct,0,30,60-80%
24968,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,266500,3.875,0.5347,6245,300,No,No,No,298000,Site Build,Permanent Residency,Home,1,5040,CRIF,804,CIB,35-44,Through Institution,0.8943,North,Direct,0,26,>80%
24969,2019,Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,436500,3.5,0.5636,9323.75,240,No,No,No,588000,Site Build,Permanent Residency,Home,1,7860,CIB,801,EXP,35-44,Through Institution,0.7423,South,Direct,0,40,60-80%
24970,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,446500,3.375,-0.1955,0,360,No,No,No,1308000,Site Build,Permanent Residency,Home,1,5700,CIB,711,CIB,55-64,Direct,0.3414,North,Direct,0,47,<60%
24971,2019,Conforming,Female,Not Pre-Approved,type2,p1,High Risk,No,Business,216500,3.5,0.8157,0,360,No,No,No,218000,Site Build,Permanent Residency,Home,1,2580,CIB,673,EXP,55-64,Direct,0.9931,Central,Direct,0,49,>80%
24972,2019,Conforming,Unknown,Not Pre-Approved,type1,p1,High Risk,No,Personal,476500,3.99,0.2859,2627.1,360,No,Yes,No,688000,Site Build,Permanent Residency,Home,1,15180,CIB,634,EXP,45-54,Through Institution,0.6926,South,Direct,0,23,60-80%
24973,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,466500,3.625,0.0903,1790.25,360,No,No,No,658000,Site Build,Permanent Residency,Home,1,8700,CIB,834,CIB,55-64,Direct,0.7090,North,Direct,0,33,60-80%
24974,2019,Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,326500,3.99,0.3528,2627.1,240,No,Yes,No,418000,Site Build,Permanent Residency,Home,1,5400,EQUI,764,EXP,25-34,Direct,0.7811,South,Direct,1,43,60-80%
24975,2019,Conforming,Joint,Not Pre-Approved,type2,p1,High Risk,No,Business,656500,3.99,0.9621,2627.1,360,No,No,No,678000,Site Build,Permanent Residency,Home,1,8160,CRIF,865,EXP,25-34,Direct,0.9683,North,Direct,1,60,>80%
24976,2019,Conforming,Unknown,Not Pre-Approved,type1,p1,High Risk,No,Personal,506500,3.99,0.3528,2627.1,360,No,No,No,808000,Site Build,Investment,Home,2,9180,EXP,593,CIB,45-54,Through Institution,0.6269,South,Direct,1,44,60-80%
24977,2019,Conforming,Unknown,Pre-Approved,type3,p4,High Risk,No,Personal,246500,3.75,-0.1094,0,360,No,No,No,358000,Site Build,Permanent Residency,Home,1,5760,EXP,511,EXP,35-44,Through Institution,0.6885,South,Direct,0,43,60-80%
24978,2019,Conforming,Joint,Pre-Approved,type1,p3,High Risk,No,Personal,186500,3.99,0.3528,2627.1,360,No,No,No,288000,Site Build,Permanent Residency,Home,1,5640,CRIF,533,EXP,65-74,Through Institution,0.6476,South,Direct,1,31,60-80%
24979,2019,Conforming,Joint,Not Pre-Approved,type1,p3,Low Risk,Yes,Personal,56500,4.5,0.252,2627.1,360,No,Yes,No,2008000,Site Build,Permanent Residency,Home,1,7980,EXP,677,EXP,65-74,Through Institution,0.0281,North,Direct,0,41,<60%
24980,2019,Conforming,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,486500,4.75,0.2531,4177.19,360,No,No,No,578000,Site Build,Secondary Residency,Home,1,9840,EXP,774,CIB,65-74,Through Institution,0.8417,South,Direct,0,44,>80%
24981,2019,Conforming,Joint,Not Pre-Approved,type1,p3,High Risk,No,Personal,346500,3.99,-0.0249,6370,360,No,No,No,3408000,Site Build,Permanent Residency,Home,1,11460,EXP,638,EXP,>74,Through Institution,0.1017,North,Direct,0,25,<60%
24982,2019,Conforming,Male,Pre-Approved,type1,p3,High Risk,No,Personal,136500,3.875,0.9787,2940.31,180,No,No,No,348000,Site Build,Permanent Residency,Home,1,3660,EXP,644,CIB,55-64,Through Institution,0.3922,North,Direct,0,44,<60%
24983,2019,Conforming,Male,Pre-Approved,type3,p1,High Risk,No,Personal,586500,3.5,-0.2979,2800,360,No,No,No,588000,Site Build,Permanent Residency,Home,1,7140,EXP,732,CIB,35-44,Through Institution,0.9974,South,Direct,0,49,>80%
24984,2019,Conforming,Female,Not Pre-Approved,type1,p4,High Risk,No,Personal,336500,3.99,0.3528,2627.1,360,No,No,Yes,418000,Site Build,Permanent Residency,Home,1,7440,EQUI,586,EXP,55-64,Through Institution,0.8050,North,Direct,1,41,>80%
24985,2019,Conforming,Female,Not Pre-Approved,type2,p3,High Risk,No,Business,76500,4.75,1.3051,1818.9,300,Yes,No,No,88000,Site Build,Permanent Residency,Home,1,2940,CIB,642,CIB,35-44,Through Institution,0.8693,North,Direct,0,45,>80%
24986,2019,Non-Conforming,Male,Pre-Approved,type3,p4,High Risk,No,Personal,286500,3.5,-0.169,2627.1,360,No,No,No,258000,Site Build,Permanent Residency,Home,1,5760,EXP,872,CIB,65-74,Through Institution,1.1105,South,Direct,1,43,>80%
24987,2019,Unknown,Unknown,Not Pre-Approved,type1,p4,High Risk,No,Personal,136500,3.625,0.544,3817.34,180,No,No,No,208000,Site Build,Permanent Residency,Home,1,3000,EXP,898,CIB,55-64,Through Institution,0.6563,South,Direct,0,45,60-80%
24988,2019,Non-Conforming,Unknown,Pre-Approved,type1,p1,High Risk,No,Personal,486500,3.99,-0.168,11957.75,360,No,No,No,598000,Site Build,Permanent Residency,Home,1,14640,CIB,734,CIB,45-54,Through Institution,0.8135,South,Direct,0,31,>80%
24989,2019,Conforming,Female,Not Pre-Approved,type1,p1,High Risk,No,Personal,416500,3.75,-0.4929,7265.8,360,No,Yes,No,498000,Site Build,Permanent Residency,Home,1,3840,CIB,639,CIB,25-34,Direct,0.8363,North,Direct,0,47,>80%
24990,2019,Conforming,Male,Not Pre-Approved,type1,p1,High Risk,No,Personal,186500,4.875,0.3555,4950,360,No,No,No,348000,Site Build,Permanent Residency,Home,1,2880,EXP,506,CIB,55-64,Direct,0.5359,North,Direct,0,46,<60%
24991,2019,Conforming,Joint,Not Pre-Approved,type1,p4,High Risk,No,Personal,186500,3.99,0.3528,2627.1,360,No,No,No,418000,Site Build,Permanent Residency,Home,1,5700,EQUI,664,EXP,65-74,Through Institution,0.4462,North,Direct,1,43,<60%
24992,2019,Conforming,Male,Not Pre-Approved,type2,p1,High Risk,No,Business,316500,3.375,0.7659,7628.9,360,No,No,No,318000,Site Build,Permanent Residency,Home,1,7680,EXP,670,CIB,45-54,Direct,0.9953,North,Direct,0,32,>80%
24993,2019,Conforming,Male,Not Pre-Approved,type2,p4,High Risk,No,Business,346500,3.99,0.9621,2627.1,360,No,Yes,No,478000,Site Build,Permanent Residency,Home,1,5760,EXP,577,CIB,35-44,Through Institution,0.7249,North,Direct,1,43,60-80%
24994,2019,Conforming,Male,Not Pre-Approved,type1,p4,High Risk,No,Personal,326500,3.25,-0.1973,9271.25,348,No,No,No,438000,Site Build,Permanent Residency,Home,1,6840,EXP,857,CIB,55-64,Through Institution,0.7454,South,Direct,0,46,60-80%
